season,player_display_name,player_position,player_gsis_id,avg_intended_air_yards,avg_time_to_throw,avg_completed_air_yards,total_weeks
2022,Marcus Mariota,QB,00-0032268,10.62383216657518,2.972169577914579,7.220289286760001,12
2023,Marcus Mariota,QB,00-0032268,8.485999999999999,2.7415,6.316923076923075,1
2024,Marcus Mariota,QB,00-0032268,10.045396419437342,2.84531074168798,7.997166666666667,2
2019,Brandon Allen,QB,00-0032434,8.352429894179894,2.5359704273504273,6.4659313725490195,3
2020,Brandon Allen,QB,00-0032434,7.224280834223091,2.5402826273289323,3.5841755098881536,6
2021,Brandon Allen,QB,00-0032434,4.844827586206898,2.445,1.7120000000000024,1
2024,Brandon Allen,QB,00-0032434,7.318076923076921,2.8015862068965514,5.0317647058823525,1
2018,Jeff Driskel,QB,00-0032436,7.715456352509436,2.5671730908584354,4.4683173577123165,7
2019,Jeff Driskel,QB,00-0032436,8.948032945736434,3.0796596736596733,6.692154320987655,3
2020,Jeff Driskel,QB,00-0032436,10.367795193312435,2.6439254901960787,7.9597549019607845,2
2023,Jeff Driskel,QB,00-0032436,9.880799999999999,2.7014230769230774,8.575384615384616,1
2016,Kevin Hogan,QB,00-0032784,5.390416666666667,3.335666666666667,4.908333333333332,1
2017,Kevin Hogan,QB,00-0032784,8.783421052631578,2.5745049786628735,4.757187500000001,2
2017,Nate Sudfeld,QB,00-0032792,3.214782608695652,2.572434782608695,2.3063157894736848,1
2016,Connor Cook,QB,00-0032893,8.509650793650795,2.4855380952380948,5.687619047619047,2
2016,Carson Wentz,QB,00-0032950,8.01773214300715,2.6452149579087867,5.454005921951119,17
2017,Carson Wentz,QB,00-0032950,9.81706790062601,2.6904750674410276,7.612533678649874,14
2018,Carson Wentz,QB,00-0032950,7.782891649511538,2.6687975101978183,5.786954151481658,12
2019,Carson Wentz,QB,00-0032950,8.091122025383918,2.711115942437588,5.630150565520124,17
2020,Carson Wentz,QB,00-0032950,9.075534240244549,2.9408397659724126,6.600883889451666,13
2021,Carson Wentz,QB,00-0032950,7.83173797053343,2.8298605357914077,6.166330650868246,17
2022,Carson Wentz,QB,00-0032950,7.5927743177001314,2.550208784907785,5.016072631352283,9
2023,Carson Wentz,QB,00-0032950,6.445217391304347,2.2626666666666666,6.1635294117647055,1
2024,Carson Wentz,QB,00-0032950,6.451764705882352,2.4222352941176473,3.721000000000001,1
2016,Dak Prescott,QB,00-0033077,8.990560347479045,2.870060624946984,7.394725887116316,17
2017,Dak Prescott,QB,00-0033077,8.49013692028551,2.8512724218164194,6.4053561275710065,17
2018,Dak Prescott,QB,00-0033077,7.535666147403173,2.8470984247097926,5.633782702757112,19
2019,Dak Prescott,QB,00-0033077,9.230105832781092,2.8638892107473986,7.383304373188885,17
2020,Dak Prescott,QB,00-0033077,7.747886961005581,2.781993415511991,6.695901901088985,6
2021,Dak Prescott,QB,00-0033077,7.9954373045190685,2.7575059928334564,6.044894267702131,18
2022,Dak Prescott,QB,00-0033077,8.281497910643358,2.7221976603638427,6.175823275329122,15
2023,Dak Prescott,QB,00-0033077,8.009698226962172,2.7183049722472403,6.3027009667099225,19
2024,Dak Prescott,QB,00-0033077,7.512072310077059,2.773208734046028,5.2236283394055025,9
2016,Cody Kessler,QB,00-0033104,7.832745504871521,2.8942312892580175,6.055475222191916,6
2017,Cody Kessler,QB,00-0033104,9.47157894736842,2.77778947368421,6.006000000000001,1
2018,Cody Kessler,QB,00-0033104,6.233331831330083,2.9114312881954962,3.801999050731404,6
2016,Jared Goff,QB,00-0033106,7.464867205940205,2.53146468819663,4.754220876855987,8
2017,Jared Goff,QB,00-0033106,8.09496912708621,2.9353057526024844,5.973006796023612,17
2018,Jared Goff,QB,00-0033106,8.874644126373273,2.96088246990522,7.138758992885974,20
2019,Jared Goff,QB,00-0033106,7.864099537489041,2.813211367269595,5.944270436660505,17
2020,Jared Goff,QB,00-0033106,6.819144459120446,2.7807657832891466,5.251885497222873,18
2021,Jared Goff,QB,00-0033106,6.517654977543618,2.7582415370218567,4.263256368960428,15
2022,Jared Goff,QB,00-0033106,7.0301072291856075,2.745904753499337,5.498070508180245,18
2023,Jared Goff,QB,00-0033106,7.050067817763074,2.720077813427292,5.862800698738262,21
2024,Jared Goff,QB,00-0033106,6.82086253013561,2.8149173734520727,5.14476400864594,19
2016,Paxton Lynch,QB,00-0033108,11.7615,2.4307869047619044,7.239832643202209,3
2017,Paxton Lynch,QB,00-0033108,9.243225806451616,2.342806451612903,7.31,1
2016,Jacoby Brissett,QB,00-0033119,9.350263157894739,2.5014571150097464,2.4324866310160442,2
2017,Jacoby Brissett,QB,00-0033119,7.574105563316342,2.8970657307942593,5.186785590491137,16
2019,Jacoby Brissett,QB,00-0033119,7.744853722969896,2.933334935680636,4.964522662418995,15
2021,Jacoby Brissett,QB,00-0033119,7.546724298277465,2.8318183748040324,5.257392750866154,7
2022,Jacoby Brissett,QB,00-0033119,8.9079781858526,2.896657191599866,6.6157887033969915,12
2024,Jacoby Brissett,QB,00-0033119,7.249080547184321,2.8826514730639734,4.182920634920635,7
