carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,targets,receiving_yards,receiving_yards_after_catch,receiving_first_downs,target_share,wopr_x,fantasy_points_ppr,tgt_sh,yac_sh,wopr_y,ry_sh,yptmpa,ppr_sh,player_id,player_name,season,team
211,898.0,5,41.0,17,23,142.0,161.0,7.0,0.7676089042468353,1.0110036225362211,147.0,0.0528735632183908,0.1269716088328075,0.0689332709211005,0.0502654867256637,0.3264367816091954,0.148335015136226,00-0025394,Adrian Peterson,2019,WAS
156,604.0,7,34.0,12,18,101.0,103.0,4.0,0.4874459244187287,0.7196501161369664,124.5,0.0309278350515463,0.0545839957604663,0.0454280906620415,0.0229702069592904,0.1735395189003436,0.0836986043509828,00-0025394,Adrian Peterson,2020,DET
38,98.0,2,6.0,4,4,8.0,19.0,0.0,0.1147142617730853,0.1102227854338,26.6,0.0279720279720279,0.042316258351893,0.0326162160557065,0.0087912087912087,0.0559440559440559,0.0789786223277909,00-0025394,Adrian Peterson,2021,SEA
207,891.0,7,44.0,20,31,151.0,164.0,6.0,1.0148855801745542,1.5595805487520669,164.20000000000002,0.0609037328094302,0.1062864549578742,0.0941256823166384,0.0437935034802784,0.2966601178781925,0.1362972308918255,00-0025399,Marshawn Lynch,2017,OAK
90,376.0,3,20.0,15,20,84.0,90.0,6.0,0.5408632468267442,0.740968958721169,79.0,0.0858369098712446,0.0903614457831325,0.1253750831167261,0.0471116096466629,0.3605150214592275,0.1457241939054084,00-0025399,Marshawn Lynch,2018,OAK
12,34.0,1,2.0,0,0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0977944236371202,00-0025399,Marshawn Lynch,2019,SEA
19,116.0,0,6.0,6,8,35.0,31.0,2.0,0.2344444444444444,0.3975022486058643,27.1,0.1311475409836065,0.1330472103004291,0.2232615958355994,0.0755939524838013,0.5737704918032787,0.1332874286838481,00-0026019,Danny Woodhead,2016,SD
14,56.0,0,2.0,33,39,200.0,118.0,9.0,1.1668037807949538,2.2140358868555743,58.6,0.1413043478260869,0.143030303030303,0.2584331220618846,0.1154068090017311,0.7246376811594203,0.0864153837078983,00-0026019,Danny Woodhead,2017,BAL
35,114.0,0,5.0,10,15,72.0,83.0,4.0,0.4452166784828075,0.6626692165914789,34.6,0.0279850746268656,0.0588652482269503,0.0413854579802689,0.0189374013677012,0.1343283582089552,0.0277893789957271,00-0026069,Mike Tolbert,2016,CAR
66,247.0,1,9.0,14,17,78.0,48.0,2.0,0.5452796253454149,0.9490445340014104,50.5,0.0494186046511627,0.0474777448071216,0.0855128427629295,0.0336351875808538,0.2267441860465116,0.0597802926274918,00-0026069,Mike Tolbert,2017,BUF
