receptions,targets,receiving_yards,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,player_id,player_name,season
0,2,0.0,43.0,0.0,0.0,0.064390243902439,0.2306836569579288,0.2580639257242086,0.0,0.0294117647058823,0.0934782608695652,0.1189002557544757,0.0,0.0,0.0,0.0,0.0,0.0,00-0036429,Charlie Woerner,2022
3,3,32.0,12.0,20.0,1.0,0.1103703703703703,0.0474370096297225,0.1987614622963613,6.2,0.0357142857142857,0.0149439601494396,0.0655265966909802,0.04177545691906,0.03125,0.0277777777777777,0.033420365535248,0.3809523809523809,0.0218355990702261,00-0036429,Charlie Woerner,2023
7,12,46.0,35.0,21.0,3.0,0.4960351564756599,0.1949245500474614,0.8804999197467128,11.6,0.0483870967741935,0.0170648464163822,0.0862325222943961,0.0246913580246913,0.0348837209302325,0.032258064516129,0.019753086419753,0.1854838709677419,0.0184355233463653,00-0036429,Charlie Woerner,2024
0,1,0.0,-2.0,0.0,0.0,0.0232558139534883,-0.005524861878453,0.0310163176153154,0.0,0.0222222222222222,-0.0051546391752577,0.0292096219931271,0.0,0.0,0.0,,0.0,0.0,00-0036438,Stephen Sullivan,2021
2,6,46.0,87.0,21.0,2.0,0.2071087216248506,0.4918177774900618,0.6549355266803192,6.6000000000000005,0.0476190476190476,0.0822306238185255,0.1372130704833918,0.0498374864572047,0.0476190476190476,0.0416666666666666,0.0398699891657638,0.365079365079365,0.0192745750832311,00-0036438,Stephen Sullivan,2022
12,24,125.0,255.0,8.0,5.0,0.8247999827154806,1.0225724052038148,1.9530006577158912,24.5,0.0781758957654723,0.1011503371677905,0.1981841133824409,0.072463768115942,0.0704225352112676,0.0657894736842105,0.0579710144927536,0.4071661237785016,0.0412249705535924,00-0036438,Stephen Sullivan,2023
0,1,0.0,16.0,0.0,0.0,0.024390243902439,0.0399002493765586,0.0645155404172495,0.0,0.0217391304347826,0.0362811791383219,0.0616336389628315,0.0,0.0,0.0,0.0,0.0,0.0,00-0036438,Stephen Sullivan,2024
2,2,26.0,16.0,10.0,2.0,0.0833333333333333,0.0945687371209891,0.1911981159846923,10.6,0.0408163265306122,0.0457142857142857,0.0977959183673469,0.0552016985138004,0.074074074074074,0.0857142857142857,0.0691613588110403,0.5306122448979592,0.0454467501286228,00-0036456,Dominique Dafney,2020
2,4,34.0,10.0,31.0,2.0,0.1158890168970814,0.0359499458336667,0.1989984874291888,5.4,0.0277777777777777,0.0099403578528827,0.0496189529489728,0.0294627383015597,0.0338983050847457,0.0289855072463768,0.0235701906412478,0.2361111111111111,0.0128004551272934,00-0036456,Dominique Dafney,2021
2,3,36.0,48.0,3.0,2.0,0.0944444444444444,0.2038664586957826,0.2843731877537144,5.6,0.0422535211267605,0.0879120879120879,0.1337099520198111,0.0782608695652174,0.0689655172413793,0.0625,0.0626086956521739,0.5070422535211268,0.0324825986078886,00-0036510,Kenny Yeboah,2021
2,4,28.0,19.0,20.0,1.0,0.0904040404040404,0.1135799503563135,0.21511202585548,4.800000000000001,0.0425531914893617,0.0637583892617449,0.1148364986434385,0.0585774058577405,0.0454545454545454,0.0416666666666666,0.0468619246861924,0.2978723404255319,0.0268126466316612,00-0036510,Kenny Yeboah,2023
5,8,47.0,37.0,34.0,3.0,0.2415042989083589,0.2248516387731528,0.5196525955037454,15.7,0.038647342995169,0.033065236818588,0.084423203947624,0.036978756884343,0.0461538461538461,0.0519480519480519,0.046249672174141,0.2270531400966183,0.0316890037138705,00-0036510,Kenny Yeboah,2024
3,7,34.0,38.0,6.0,2.0,0.1963562753036437,0.168796992481203,0.4126923076923077,6.4,0.1076923076923077,0.0883720930232558,0.2322361359570662,0.0788863109048723,0.0909090909090909,0.0769230769230769,0.0631090487238979,0.5230769230769231,0.0390863564187125,00-0036534,Shane Zylstra,2021
11,15,60.0,78.0,13.0,6.0,0.4362510366000693,0.3762127211525328,0.917725459706877,41.0,0.0545454545454545,0.0464285714285714,0.1189610389610389,0.0281822451855331,0.0517241379310344,0.0763358778625954,0.0758791294817598,0.2181818181818181,0.0521787823253919,00-0036534,Shane Zylstra,2022
1,1,22.0,9.0,13.0,1.0,0.032258064516129,0.0348837209302325,0.0728057014253563,3.2,0.0303030303030303,0.0368852459016393,0.0749627421758569,0.0489977728285077,0.0454545454545454,0.0384615384615384,0.0391982182628062,0.6666666666666666,0.0191090409650065,00-0036534,Shane Zylstra,2024
20,28,178.0,159.0,99.0,10.0,0.8880914777653909,0.9488215167906296,1.9963122784015268,55.8,0.1044776119402985,0.0905982905982906,0.2291950503890802,0.1074230537115268,0.1282051282051282,0.1511627906976744,0.1609384429692215,0.664179104477612,0.0982775018493078,00-0036556,Brevin Jordan,2021
