receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,tgt_sh,player_id,player_name,season
103,175,1144.0,8,1896.0,336.0,59.0,5.528750209490108,7.609418523979678,13.619718281020935,265.40000000000003,0.8255844265316624,0.3120567375886525,0.3241758241758242,0.3316831683168317,0.329645390070922,2.053859964093357,0.213870130707367,0.3141831238779174,00-0031381,Davante Adams,2023
85,141,1063.0,8,1172.0,473.0,49.0,4.138298151972922,5.099001598169743,9.776748346678204,241.3,0.7170552403386272,0.3106370543541788,0.2865497076023391,0.2908163265306122,0.3125096434833431,2.156186612576065,0.1988987619314528,0.2860040567951318,00-0031381,Davante Adams,2024
94,131,1136.0,4,833.0,616.0,52.0,4.409339394445334,3.509616946621296,9.07074095430291,233.3,0.5871337023589867,0.3057050592034445,0.311377245508982,0.2886597938144329,0.2741936769923853,2.3815513626834384,0.1724775254317482,0.2746331236897275,00-0031382,Jarvis Landry,2016
112,161,987.0,9,956.0,498.0,60.0,4.4518939268636,3.280873126746561,8.974452079017992,260.0,0.5577557472906309,0.2602848101265823,0.320855614973262,0.3270142180094786,0.2832278481012658,1.6395348837209305,0.20755500207555,0.2674418604651162,00-0031382,Jarvis Landry,2017
81,149,976.0,4,1645.0,274.0,44.0,4.272519340372825,5.02641828843992,9.92727181246718,217.12,0.6308407122079084,0.2290542126261441,0.2328042328042328,0.2201834862385321,0.210829576997467,1.7003484320557491,0.1462245090380108,0.259581881533101,00-0031382,Jarvis Landry,2018
83,138,1174.0,6,1343.0,436.0,55.0,4.319438833932144,4.859155201517791,9.880566891960669,237.4,0.6143374184763133,0.3007942608250064,0.3038674033149171,0.2990196078431372,0.2928093217034834,2.174074074074074,0.1788431694565397,0.2555555555555555,00-0031382,Jarvis Landry,2019
72,101,840.0,3,826.0,347.0,46.0,3.606466403966404,3.596628657611857,7.927339666277906,187.96,0.5109278127917833,0.2459016393442623,0.2513661202185792,0.2333333333333333,0.218943533697632,1.875,0.1381916567412178,0.2254464285714285,00-0031382,Jarvis Landry,2020
52,87,570.0,2,696.0,273.0,28.0,2.9378012287729653,3.0172088235796486,6.518748019665202,133.0,0.5544621154246823,0.2256532066508313,0.2276422764227642,0.217391304347826,0.2071892319873317,1.5702479338842976,0.1412579391210145,0.2396694214876033,00-0031382,Jarvis Landry,2021
25,39,272.0,1,374.0,61.0,12.0,1.261425331491121,1.2593192520756158,2.773661473689613,60.2,0.3185084089108039,0.1221374045801526,0.1212121212121212,0.1160714285714285,0.1130945390487375,0.9819494584837544,0.0847433767842563,0.1407942238267148,00-0031382,Jarvis Landry,2022
96,173,1321.0,12,2563.0,179.0,81.0,4.859920312819454,7.017588284982066,12.202192268716626,304.1,0.8013248866765654,0.3171668667466987,0.3681818181818181,0.3734939759036144,0.3364921140870141,2.285467128027681,0.2172608416089162,0.2993079584775086,00-0031408,Mike Evans,2016
71,136,1001.0,5,1868.0,134.0,55.0,3.647183684743108,4.965569445800631,8.946674139175101,203.1,0.6141259777765604,0.2264705882352941,0.238095238095238,0.234375,0.2211764705882353,1.7530647985989491,0.1471952456877808,0.2381786339754816,00-0031408,Mike Evans,2017
86,138,1524.0,8,2147.0,282.0,69.0,3.642727088606421,5.338413978129626,9.20098041760037,284.40000000000003,0.5897968081903041,0.284434490481523,0.260377358490566,0.2558139534883721,0.2719920368296628,2.4384,0.1702565821769375,0.2208,00-0031408,Mike Evans,2018
